Ticket No,Priority,State,Category,Issue,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T01,High,California,Data Privacy,GDPR,IT,Vendor Cloud,03-01-2021 12:46,03-01-2021 12:48,03-06-2021 16:35,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T02,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,04-01-2021 09:52,04-01-2021 10:12,17-01-2021 09:44,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T03,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,04-01-2021 10:11,04-01-2021 10:11,04-01-2021 11:43,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call
T04,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,04-01-2021 10:55,04-01-2021 10:55,18-01-2021 11:06,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T05,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,04-01-2021 21:58,04-01-2021 22:13,11-01-2021 12:20,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T06,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,05-01-2021 00:00,05-01-2021 09:24,07-01-2021 21:30,Sebastian,Satisfactory (3),Resolved,,Mail
T07,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,05-01-2021 21:27,05-01-2021 21:45,07-01-2021 20:14,Martina,Good (4),Advised for a risk assessment,,Personal Call
T08,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,05-01-2021 21:33,28-04-2021 22:11,10-01-2021 18:30,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T09,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,06-01-2021 19:36,08-07-2021 01:39,11-01-2021 10:17,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T10,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,06-01-2021 19:47,06-01-2021 20:09,10-01-2021 11:04,Sylviya,Good (4),Advised for a risk assessment,,Personal Call
T100,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,13-03-2021 21:53,13-03-2021 21:54,17-03-2021 18:36,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T101,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,19-03-2021 04:21,19-03-2021 04:22,19-03-2021 04:23,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T102,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,19-03-2021 06:14,19-03-2021 06:16,25-03-2021 14:25,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T103,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,20-03-2021 08:44,20-03-2021 08:45,20-03-2021 08:52,Martina,Excellent (5),Advised for a risk assessment,,Personal Call
T104,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,21-03-2021 18:18,21-03-2021 18:31,09-06-2021 12:11,Robbin,Excellent (5),Resolved,,Ticket Portal
T105,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,25-03-2021 18:56,25-03-2021 19:49,25-03-2021 19:49,Sebastian,Excellent (5),Advised for a risk assessment,,Personal Call
T106,High,California,Data Privacy,GDPR,IT,On Prem Cloud,25-03-2021 23:29,25-03-2021 23:37,03-06-2021 18:54,Martina,Excellent (5),Advised for a risk assessment,,Mail
T107,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,27-03-2021 15:20,27-03-2021 15:21,27-03-2021 15:40,Sean,Unsatisfactory (2),Resolved,No,Ticket Portal
T108,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,27-03-2021 15:20,27-03-2021 15:21,27-03-2021 15:40,Martina,Unsatisfactory (2),Resolved,No,Mail
T109,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,27-03-2021 16:21,27-03-2021 16:24,03-06-2021 19:36,Allan,Excellent (5),Resolved,,Ticket Portal
T11,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,07-01-2021 14:38,07-01-2021 14:41,03-09-2021 17:36,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T110,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,27-03-2021 17:44,27-03-2021 18:14,03-06-2021 19:26,Martina,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T111,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,31-03-2021 09:37,31-03-2021 09:37,31-03-2021 09:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T112,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,31-03-2021 09:46,31-03-2021 09:47,31-03-2021 09:51,Allan,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T113,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,31-03-2021 09:46,31-03-2021 09:47,03-06-2021 19:56,Allan,Satisfactory (3),Resolved,,Ticket Portal
T114,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,31-03-2021 11:13,31-03-2021 11:13,31-03-2021 11:38,Allan,Satisfactory (3),Resolved,,Ticket Portal
T115,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,31-03-2021 15:53,31-03-2021 15:56,04-06-2021 12:27,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T116,Low,Oregon,Data Privacy,PCI-DSS,Legal,On Prem Server,01-04-2021 00:35,01-04-2021 00:42,06-04-2021 16:58,Martina,Good (4),Resolved,,Personal Call
T117,High,New York,Data Privacy,GDPR,HR,On Prem Cloud,01-04-2021 00:38,01-04-2021 10:24,12-04-2021 17:05,Bob,Excellent (5),Resolved,,Ticket Portal
T118,High,California,Data Leak,Insider Threat,Legal,On Prem Server,01-04-2021 15:51,01-04-2021 15:54,07-04-2021 18:33,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T119,Low,Virginia,Data Privacy,PCI-DSS,HR,On Prem Server,02-04-2021 02:55,03-04-2021 07:29,30-08-2021 19:26,Martina,Excellent (5),Recommended Threat Assessment,,Mail
T12,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,07-01-2021 17:14,07-01-2021 18:23,18-01-2021 11:03,Allan,Good (4),Resolved,,Personal Call
T120,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Cloud,05-04-2021 10:14,05-04-2021 10:18,07-04-2021 18:26,Aleena,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T121,High,Florida,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,05-04-2021 14:51,05-04-2021 14:51,05-05-2021 10:31,Allan,Good (4),Advised for a risk assessment,,Ticket Portal
T122,High,California,Cyber Security Breach,Malware Attack,IT,On Prem Server,05-04-2021 15:29,05-04-2021 15:30,08-04-2021 16:49,Charlotte,Unsatisfactory (2),Resolved,No,Mail
T123,High,Rhode Island,Cyber Consultation,Secure Development,HR,On Prem Server,07-04-2021 05:50,07-04-2021 09:55,04-05-2021 16:23,Sean,Excellent (5),Advised for a risk assessment,,Mail
T124,Medium,New York,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,07-04-2021 13:55,07-04-2021 13:59,13-04-2021 16:50,Charles,Excellent (5),Recommended Threat Assessment,,Personal Call
T125,Medium,Virginia,Data Privacy,GDPR,IT,On Prem Cloud,07-04-2021 18:37,07-04-2021 18:37,08-04-2021 17:28,Aleena,Excellent (5),Advised for a risk assessment,,Personal Call
T126,High,Florida,Cyber Security Breach,Spyware,Finance,On Prem Server,07-04-2021 20:36,07-04-2021 20:37,17-05-2021 17:35,Aleena,Good (4),Recommended Threat Assessment,,Ticket Portal
T127,High,Texas,Cyber Consultation,BCP/DR,IT,On Prem Server,08-04-2021 11:15,08-04-2021 11:15,26-05-2021 11:15,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
